corpus_id,source_group,model_name,runner_status,tool_ok,resolution,active_cells,oracle_diagnostic_certified,oracle_diagnostic_coverage,bound_violations,outside_cell_vertices,median_normal_angle_error_degrees,p95_normal_angle_error_degrees,median_root_position_error_cell_units,p95_root_position_error_cell_units,median_bound_cell_units,p95_bound_cell_units,median_measured_displacement_cell_units,p95_measured_displacement_cell_units,baseline_vertices,baseline_triangles,baseline_boundary_edges,baseline_nonmanifold_edges,baseline_mean_surface_error_cell_units,baseline_max_surface_error_cell_units,fallback_mean_surface_error_cell_units,fallback_max_surface_error_cell_units,pipeline_elapsed_seconds,input_path
F014,Fusion360Gallery,34782_b461066c_3,completed,True,24,354,218,0.615819209039548,0,37,0,16.918077715756546,6.04495275849483e-16,6.00789780897834e-15,1.9649189725351812e-13,43.52928371435048,1.343323142666475e-16,0.26298405867581703,354,708,0,4,0.020906718505931485,0.22324382274672758,0.12572596360711538,0.664729007619543,0.09419149999848742,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/34782_b461066c_3.stp
F015,Fusion360Gallery,137166_90691294_15,completed,True,24,805,387,0.48074534161490684,0,94,0.003279203887809477,41.35875567605963,2.4457182613372133e-15,0.08037584602642482,2.020746309347212,86.54598393776753,0.01160965453884478,0.4105541823679448,805,1612,0,3,0.030268027176891223,0.20633917618254233,0.19082358140093764,0.61661422370468,0.08285370799967495,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/137166_90691294_15.stp
F016,Fusion360Gallery,21852_6cf9a734_3,completed,True,24,2912,158,0.05425824175824176,0,303,5.225124967241868,35.34631286901544,0.0036362755594761516,0.21674305440457822,14.11916693311461,61.78567223560274,0.13596446995716005,0.44026704391087373,2912,6188,0,174,0.06288336216596604,0.44418540964905134,0.2684159842224064,0.848814451015908,0.1414063750016794,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/21852_6cf9a734_3.stp
F017,Fusion360Gallery,145530_0a838de7_5,completed,True,24,1871,1529,0.8172100481026189,0,137,0,18.435407108799335,2.383232787117382e-15,4.6762404015112875e-15,1.4124764342619714e-13,34.508781884217214,2.065015711480844e-15,0.29786607381778857,1871,3648,0,51,0.02114519336712697,0.547673601278774,0.06414605724496458,0.6794115100585194,0.7703995000010764,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/145530_0a838de7_5.stp
F018,Fusion360Gallery,21242_6c2af7c2_5,completed,True,24,2675,461,0.17233644859813085,0,348,1.9674536629932398,33.04538303155978,0.00019674958100728988,0.035208855133125036,3.3290542390703894,68.5319393708103,0.03536353044756844,0.2906249742275843,2675,5360,0,5,0.021782067282844892,0.20415827943196174,0.28745358729268317,0.7974557337346764,0.14250095799980045,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/21242_6c2af7c2_5.stp
F019,Fusion360Gallery,32220_1fd19c5e_36,completed,True,24,670,127,0.18955223880597014,0,143,5.6441920147098745,43.55547840250362,1.3460065144547974e-14,0.23519772412984918,38.05641463716235,81.39778393681887,0.13223737290081658,0.47186868594374676,670,1336,0,0,0.037630462291421085,0.2157018276024292,0.30093316999225583,0.5958042685632222,0.09240529099952255,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/32220_1fd19c5e_36.stp
F020,Fusion360Gallery,123094_af46c5e1_20,completed,True,24,437,0,0,0,130,13.864142721925433,43.72694095194606,5.302190522707378e-05,0.12409524603898933,28.45735893198799,70.97173476401893,0.22556411288945155,0.4207010727661397,437,880,0,5,0.1072213692300744,0.33450975544545053,0.3069283542570362,0.7344912876222577,0.08456808299888507,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/123094_af46c5e1_20.stp
F021,Fusion360Gallery,138423_553700e1_4,completed,True,24,289,6,0.020761245674740483,0,64,3.467515261416434,51.054498447852225,0.00799418508840026,0.24851156407342015,11.613371356813474,131.62779971841573,0.10657821329006456,0.7016862274986879,289,584,0,6,0.059906768250704005,0.42254713997649196,0.32254822815784095,0.8623578066709323,0.12726675000158139,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/138423_553700e1_4.stp
F022,Fusion360Gallery,21641_83f43fad_2,completed,True,24,604,98,0.16225165562913907,0,8,2.400606721822925,5.473593035488747,0.008122155893288008,0.01426277698353819,4.885040218652387,28.25809214461016,0.051356885471485814,0.12846501211867514,604,1204,0,0,0.033621380886495675,0.059650766527384255,0.28438263516125317,0.5469498116575015,0.08069845799946052,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/21641_83f43fad_2.stp
F023,Fusion360Gallery,38287_88ec74de_73,completed,True,24,1305,62,0.0475095785440613,0,277,4.926762797061466,27.049893954913664,0.0002630732440844477,0.023352570391290798,9.896388518657707,47.973341537802696,0.10330126594298844,0.3382008067252233,1305,2616,0,3,0.042760204328149365,0.2558113739982412,0.3363650774013366,0.8597732381319385,0.09457649999967543,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/38287_88ec74de_73.stp
F024,Fusion360Gallery,29845_053c4c5b_4,completed,True,24,1288,0,0,0,176,3.932947576830742,39.395156274760254,0.0005755411747965946,0.11132266805352325,17.182937920752664,62.66574774803859,0.1616847792361126,0.39988658817816847,1288,2576,0,0,0.03932296795911254,0.27722096040821553,0.3230807831956234,0.8318745209749335,0.1387505409984442,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/29845_053c4c5b_4.stp
F025,Fusion360Gallery,53078_b592f2bd_13,completed,True,24,1013,134,0.13228035538005922,0,198,9.064141017048861,42.11829906824894,0.00020207945679766588,0.21589129697752593,19.84336252064611,105.1040529147577,0.17774257714967914,0.7911908189720565,1013,2040,0,7,0.056732460616276854,0.3791119923757035,0.23066650728254198,0.8003607818106414,0.12033695899845043,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/53078_b592f2bd_13.stp
F026,Fusion360Gallery,23418_18c3b38d_5,completed,True,24,1881,166,0.08825093035619351,0,321,3.6160837486449795,33.803831593417236,0.0004577721492768286,0.029274556030878474,6.975441612500545,59.0835158742743,0.06902277041617494,0.3961720631485781,1881,3772,0,5,0.026459638780951065,0.13633198126521612,0.33835301405542234,0.8080568503522161,0.11597316599909391,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/23418_18c3b38d_5.stp
F027,Fusion360Gallery,76880_9bb28e72_11,completed,True,24,16,4,0.25,0,4,58.95416745369893,67.30309193070266,1.0754168554969841e-15,4.2677101591175305e-15,68.72658522326957,147.86718041437953,0.3283638530141957,0.6312758205791194,16,24,0,0,0.15173134990091844,0.5996294218486475,0.28462202034871653,0.630056665780651,0.08518254199952935,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/76880_9bb28e72_11.stp
F028,Fusion360Gallery,23676_52069f98_21,completed,True,24,2931,205,0.06994199931763903,0,335,2.8739947758980575,18.9122526790921,0.0004480579689168183,0.01977777262624056,6.164114475522589,44.92792364027598,0.056103382276433765,0.27532993753562673,2931,5868,0,5,0.02618899381167371,0.18435985643461794,0.3269203396275696,0.8472553175597367,0.13755329200103006,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/23676_52069f98_21.stp
F029,Fusion360Gallery,54516_ac9e2ef4_16,completed,True,24,3320,649,0.19548192771084338,0,386,2.0095882515787102,27.147075978450342,3.6057138340975174e-05,0.01429063361786798,2.9229408855749064,49.651793632679826,0.026794526650691916,0.33298371919231395,3320,6672,0,18,0.02646190671926812,0.45512624544416963,0.2909959254821879,0.7474465846835714,0.14173304200085113,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/54516_ac9e2ef4_16.stp
F030,Fusion360Gallery,138756_a39897f4_0,completed,True,24,198,0,0,0,79,32.03400771561815,69.25873717121425,9.692350002068825e-05,0.1664972130141796,83.79516032874301,162.71061145971936,0.4286031197512817,0.8618067896417009,198,360,0,0,0.12906912788247762,0.7862977029627474,0.31554775028703214,0.8101144993133356,0.12078425000072457,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/138756_a39897f4_0.stp
F031,Fusion360Gallery,54073_7d8cdd04_1,completed,True,24,1528,661,0.4325916230366492,0,160,0.003291465582287662,22.791655156381584,1.0780109384974052e-05,0.01414030366657953,1.5759286408859547,43.94836879100644,0.010220592103009593,0.31932970588539505,1528,3052,0,0,0.02258436381586011,0.3276755032516039,0.1738944700826611,0.7433912088153872,0.10403758299980836,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/54073_7d8cdd04_1.stp
F032,Fusion360Gallery,50927_e458e13b_0,completed,True,24,112,0,0,0,28,1.2166253818702453,38.44848525578904,0.03507246450511235,0.11891784164306314,2.85454046745478,102.61194100986486,0.1136367534528725,0.4814558379114507,112,220,0,0,0.2556590139251677,0.74400789382532,0.2636066299614677,0.6187774693313204,0.0767039999991539,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/50927_e458e13b_0.stp
